cname,title,exp,edu,loc
(주)HR컨설팅그룹,[대기업분사 IT기업] AI  JAVA개발/데이터엔지니어/IoT 개발자,경력3년↑,초대졸↑,서울 금천구
(주)투비파트너즈,데이터 엔지니어  (AI 분석플랫폼),경력 3~15년,대졸↑,서울 서초구
탑커리어인사이트,빅데이터 기반 DB개발팀장,경력10년↑,대졸↑,서울 강남구
탑커리어인사이트,상장기업 DevOps / Site Reliability Engineer-연봉1억,경력7년↑,대졸↑,서울 강남구
(주)케이맨파워,[대기업] 데이터 엔지니어링,경력3년↑,대졸↑,서울 강남구
(주)테크디엔에이,빅데이터 분석 및 개발자 모집 공고,경력무관,학력무관,경기 하남시
(주)초위스컴퍼니,데이터 과학자(전문요원)(병역특례 전문연구요원 지원가능),신입·경력,학력무관,경기 용인시 기흥구
콘센트릭스서비스코리아(유),"[Concentrix] 데이터 분석, 웹개발 각 분야별 채용",경력2년↑,대졸↑,서울 강남구
(주)컨셉터스,빅데이터 플랫폼 응용프로그램 경력 개발자 모집,경력2년↑,학력무관,서울 강남구
(주)커리어앤스카우트,Oracle Goldengate 관련 Java 개발자 채용 (경기도 이천 근무),경력 6~15년,초대졸↑,경기 이천시
(주)핀커스코리아,[빅데이터솔루션기업] 데이터분석 팀장급,경력 7~15년,대졸↑,서울 강남구
(주)핀커스코리아,분석시스템 분석/설계/개발  - 대기업 SI계열사,경력5년↑,대졸↑,서울 강남구
토니서치,AI 개발 경력자 채용,경력3년↑,대졸↑,서울 강남구
토니서치,JAVA개발 경력자 채용,경력5년↑,대졸↑,서울 강남구
(주)리치앤코,[본사] 리치플래닛 서비스개발팀 부문별 경력사원 모집,경력4년↑,초대졸↑,서울 중구
(주)미래능력개발교육원,JAVA 강사 채용,경력3년↑,대졸↑,서울 성동구
주식회사 코리아정보보안아이티아카데미신촌,(IT분야)프로그래밍 강사 및 국비훈련 교사 채용,경력무관,초대졸↑,서울 마포구
