cname,title,exp,edu,loc
(주)위메이드,[채용연계형] 2021 위메이드 그룹 개발직군 인턴쉽 모집,신입,학력무관,경기 성남시 분당구
메가존클라우드(주),[메가존클라우드] 2021 상반기 신입 채용,신입,학력무관,서울 강남구
메가존클라우드(주),[메가존클라우드] 2021 상반기 Sales 부문별 채용,경력무관,학력무관,서울 강남구
중앙일보(주),뉴스서비스실 디지털(기획/개발/디자인) 직군 경력사원 상시채용,경력,학력무관,서울 중구
(사)한국기계산업진흥회,2021년 지역·산업맞춤형 인력양성사업 취업교육생 모집,경력무관,학력무관,충남 천안시
트리노드 주식회사,[본사] 데이터분석팀 웹 개발자 모집,경력무관,학력무관,부산 해운대구
(사)한국음반산업협회,한국음반산업협회 정규직 채용,경력5년↑,대졸↑,서울 마포구
(주)카카오커머스,[카카오커머스] 기술직군 모집,경력무관,학력무관,경기 성남시 분당구
한국직업전문학교,"[4차산업 IT과정/국비무료] 디지털컨버젼스 응용SW 개발(JAVA, Python) 모집",경력무관,고졸↑,서울 구로구
(주)에스아이에이,"(주)에스아이에이 - 개발팀 인턴 모집 (UI/UX디자이너, 프론트엔",경력무관,학력무관,대전 유성구
디알엑스(주),DRX 인재 공개 모집,경력무관,학력무관,서울 구로구
엔에이치엔(주),[NHN] 2021년 (신입) 전문연구요원 모집,신입,석사↑,경기 성남시 분당구
㈜지에스아이티엠,빅데이터 및 AI 분석/개발 경력사원 모집,경력4년↑,학력무관,서울 종로구
(주)지씨,(주) GC 해양 및 관제솔루션 응용S/W 개발자 채용 (부산/인천),신입·경력,대졸↑,부산 연제구
(주)티몬,[티몬] Data Scientist,경력3년↑,대졸↑,서울 강남구
데이터플로,딥러닝 이미지 영상 처리 연구개발 (정규직/계약직),경력무관,대졸↑,서울 강남구
나이스지니데이타주식회사,NICE 지니데이타(주) [IT웹개발] 경력사원 채용,경력3년↑,대졸↑,서울 영등포구
(주)여기어때컴퍼니,[여기어때] 데이터 엔지니어 (DBA/DW구축) 채용,경력 3~10년,학력무관,서울 강남구
현대오토에버(주),AI/ 음성인식/ 차량보안/ 빅데이터/ IoT 등 R&D 부문 경력채용,경력 3~20년,학력무관,서울 강남구
(주)웹젠,[웹젠] 전문연구요원 채용,신입·경력,학력무관,경기 성남시 분당구
라인플러스(주),[LINE PLUS] Data Scientist,경력4년↑,학력무관,경기 성남시 분당구
